Commuting Zone,czname,ncollege,nfouryr,nfouryrpriv,npub,nelite,hascollege,Income Age 26 Slope,Income Age 26 Intercept,College Age 19 Slope,College Age 19 Intercept,Number of Children,Birth Cohort
29700,Springfield,6,5,4,2,0,1,0.26800000000000002,0.38379999999999997,0.81015999999999999,0.079630000000000006,5626,1986
29800,Aurora,1,1,1,0,0,1,0.32763999999999999,0.37001000000000001,0.72918000000000005,0.10596,1558,1986
29901,Joplin,6,3,1,5,0,1,0.31679000000000002,0.37353999999999998,0.75544,0.16716,3590,1986
29902,Center,0,0,0,0,0,0,0.27775,0.41572999999999999,0.69849000000000006,0.15658,749,1986
30000,Russellville,2,2,1,1,0,1,0.24901000000000001,0.41520000000000001,0.70106000000000002,0.070470000000000005,1833,1986
30100,Fort Smith,4,1,0,4,0,1,0.27886,0.38684000000000002,0.72765999999999997,0.036110000000000003,4492,1986
30200,Muskogee,2,1,0,2,0,1,0.33040999999999998,0.35911999999999999,0.67788000000000004,0.034930000000000003,2138,1986
30300,Fayetteville,3,2,1,2,0,1,0.22448000000000001,0.40500999999999998,0.70135999999999998,0.07979,4580,1986
30401,Stillwater,1,1,0,1,0,1,0.25849,0.41617999999999999,0.79661000000000004,0.16009999999999999,881,1986
30402,Tulsa,9,5,2,4,1,1,0.28405000000000002,0.38207999999999998,0.73172000000000004,0.13256999999999999,12786,1986
30403,Okmulgee,1,1,0,1,0,1,0.29713000000000001,0.37846999999999997,0.58237000000000005,0.22670999999999999,688,1986
30501,Woodward,0,0,0,0,0,0,0.20769000000000001,0.52315999999999996,0.76441000000000003,0.11715,363,1986
30502,Enid,1,1,0,1,0,1,0.24005000000000001,0.47754000000000002,0.77649000000000001,0.19514999999999999,1351,1986
30601,El Paso,4,2,0,3,0,1,0.13722000000000001,0.41900999999999999,0.71509,0.20985999999999999,13254,1986
30602,Alamogordo,1,0,0,0,0,1,0.21393999999999999,0.38782,0.60297000000000001,0.22597,1069,1986
30603,Truth or Consequences,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
30604,Deming,1,1,0,1,0,1,0.18137,0.39612999999999998,0.61480000000000001,0.19134000000000001,872,1986
30605,Van Horn,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
30701,Roswell,1,0,0,1,0,1,0.26689000000000002,0.4017,0.65342999999999996,0.24651999999999999,1778,1986
30702,Santa Rosa,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
30801,Hobbs,1,0,0,1,0,1,0.23669000000000001,0.46683999999999998,0.80501,0.00645,1569,1986
30802,Lubbock,3,2,1,2,0,1,0.27949000000000002,0.38303999999999999,0.91112000000000004,0.01847,3941,1986
